etp_category,issuer,issuer_nickname
Defined,Innovator ETF Trust,Innovator
Thematic,Innovator ETF Trust,Innovator
CC,Invesco ETFs/USA,Invesco
Crypto,Invesco ETFs/USA,Invesco
Crypto,Invesco Exchange-Traded Fund T,Invesco
LI,Invesco ETFs/USA,Invesco
Thematic,Invesco ETFs/USA,Invesco
Thematic,Invesco Exchange-Traded Fund T,Invesco
Thematic,Invesco Exchange-Traded Self-I,Invesco
CC,Invesco Exchange-Traded Fund T,Invesco
Crypto,Invesco Galaxy Solana ETF/Fund,Invesco
LI,Invesco DB US Dollar Index Tru,Invesco
Thematic,Powershares Actively Managed E,Invesco
Thematic,iShares ETFs/USA,BlackRock
Thematic,Janus Detroit Street Trust,Janus Henderson
CC,JP Morgan ETFs/USA,JP Morgan
CC,JP Morgan Exchange-Traded Fund,JP Morgan
Defined,JP Morgan ETFs/USA,JP Morgan
Defined,JP Morgan Exchange-Traded Fund,JP Morgan
Thematic,JP Morgan ETFs/USA,JP Morgan
Thematic,JP Morgan Exchange-Traded Fund,JP Morgan
LI,JP Morgan ETNs/USA,JP Morgan
CC,KraneShares Trust,KraneShares
Defined,KraneShares Trust,KraneShares
LI,KraneShares Trust,KraneShares
Thematic,KraneShares Trust,KraneShares
CC,Kurv ETF Trust,Kurv
Thematic,Kurv ETF Trust,Kurv
LI,Themes ETF Trust,LeverageShares
Crypto,Listed Funds Trust,Listed Funds
Thematic,Listed Funds Trust,Listed Funds
Thematic,Macquarie Etf Trust,Macquarie
CC,Madison Funds,Madison
Thematic,Matthews International Funds,Matthews
CC,ETF Series Solutions,Meridian
LI,BMO ETNs/United States,MicroSectors
LI,Advisor Managed Portfolios/Mil,Miller Value
CC,Morgan Stanley Etf Trust,Morgan Stanley
CC,EA Series Trust,MRBL
CC,Neos ETF Trust,Neos
Crypto,Neos ETF Trust,Neos
Defined,Neos ETF Trust,Neos
CC,Tidal Trust III,NestYield
CC,Neuberger Berman ETF Trust,Neuberger Berman
Thematic,Neuberger Berman ETF Trust,Neuberger Berman
Defined,Neuberger Berman ETF Trust,Neuberger Berman
Thematic,New York Life Investment Manag,New York Life
