ticker,fund_name,etp_category,current_issuer,suggested_brand
TSIC US,TRUTH SOCIAL AMERICAN ICONS ETF,,Yorkville America Investment T,TRUTH
TSNF US,TRUTH SOCIAL AMERICAN NEXT FRONTIERS ETF,,Yorkville America Investment T,TRUTH
TSPX US,TWIN OAK ACTIVE OPPORTUNITIES ETF,,Twin Oak ETF Co/USA,TWIN
TSRS US,TRUTH SOCIAL AMERICAN RED STATE REITS ETF,,Yorkville America Investment T,TRUTH
TSSD US,TRUTH SOCIAL AMERICAN SECURITY & DEFENSE ETF,,Yorkville America Investment T,TRUTH
TTEH US,TOTALENERGIES SE ADRHEDGED,,Precidian ETFs Trust,TOTALENERGIES
TUG US,STF TACTICAL GROWTH ETF,,Listed Funds Trust,STF
TUGN US,STF TACTICAL GROWTH & INCOME ETF,,Listed Funds Trust,STF
TXS US,TEXAS CAPITAL TEXAS EQUITY INDEX ETF,,Texas Capital Funds Trust,TEXAS
TXUE US,THORNBURG INTERNATIONAL EQUITY ETF,,Thornburg ETF Trust,THORNBURG
TXUG US,THORNBURG INTERNATIONAL GROWTH ETF,,Thornburg ETF Trust,THORNBURG
UGA US,UNITED STATES GASOLINE FUND LP,,United States Commodities ETFs,UNITED
UMMA US,WAHED DOW JONES ISLAMIC WORLD ETF,,Listed Funds Trust,WAHED
UNG US,UNITED STATES NATURAL GAS FUND LP,,United States Commodities ETFs,UNITED
UNL US,UNITED STATES 12 MONTH NATURAL GAS FUND LP,,United States Commodities ETFs,UNITED
UPAR US,UPAR ULTRA RISK PARITY ETF,,Tidal Trust I,UPAR
US7 SW,AMUNDI US TREASURY BOND 7-10Y UCITS ETF,,Multi Units Luxembourg Sicav,AMUNDI
USAF US,ATLAS AMERICA FUND,,2023 ETF Series Trust/The,ATLAS
USCI US,UNITED STATES COMMODITY INDEX FUND,,United States Commodities ETFs,UNITED
USFI US,BRANDYWINEGLOBAL US FIXED INCOME ETF,,Franklin Templeton ETF Trust,BRANDYWINEGLOBAL
USL US,UNITED STATES 12 MONTH OIL FUND LP,,United States Commodities ETFs,UNITED
USMC US,PRINCIPAL US MEGA-CAP ETF,,Principal Exchange-Traded Fund,PRINCIPAL
USMD US,COREVALUES AMERICA FIRST TECHNOLOGY ETF,,Tidal Trust II,COREVALUES
USO US,UNITED STATES OIL FUND LP,,United States Commodities ETFs,UNITED
USSE US,SEGALL BRYANT & HAMILL SELECT EQUITY ETF,,Segall Bryant & Hamill Trust,SEGALL
UUPP US,PRINCIPAL CLO ETF,,Principal Exchange-Traded Fund,PRINCIPAL
UYLD US,ANGEL OAK ULTRASHORT INCOME ETF,,Angel Oak Funds Trust,ANGEL
VBND US,VIDENT US BOND STRATEGY ETF,,ETF Series Solutions,VIDENT
VCOB US,VOYA CORE BOND ETF,,Tidal Trust IV,VOYA
VETZ US,ACADEMY VETERAN BOND ETF,,Tidal Trust I,ACADEMY
VGSR US,VERT GLOBAL SUSTAINABLE REAL ESTATE ETF,,Manager Directed Portfolios/Ve,VERT
VIDI US,VIDENT INTERNATIONAL EQUITY STRATEGY ETF,,ETF Series Solutions,VIDENT
VMSB US,VOYA MULTI-SECTOR INCOME ETF,,Tidal Trust IV,VOYA
VNIE US,VONTOBEL INTERNATIONAL EQUITY ACTIVE ETF,,Advisors' Inner Circle Fund II,VONTOBEL
VOXP US,VOX POPULI ETF,,Advisors Series Trust/Distribu,VOX
VPX US,VARIANT PERCEPTION CYCLE AWARE US EQUITY ETF,,EA Series Trust,VARIANT
VUSE US,VIDENT US EQUITY STRATEGY ETF,,ETF Series Solutions,VIDENT
VUSI US,VOYA ULTRA SHORT INCOME ETF,,Tidal Trust IV,VOYA
WABF US,WESTERN ASSET BOND ETF,,Franklin Templeton ETF Trust,WESTERN
WAGN US,PABRAI WAGONS ETF,,Professionally Managed Portfol,PABRAI
WBIF US,WBI BULLBEAR VALUE 3000 ETF,,WBI ETFs/USA,WBI
WBIG US,WBI BULLBEAR YIELD 3000 ETF,,WBI ETFs/USA,WBI
WBIL US,WBI BULLBEAR QUALITY 3000 ETF,,WBI ETFs/USA,WBI
WBIY US,WBI POWER FACTOR HIGH DIVIDEND ETF,,WBI ETFs/USA,WBI
WCAP US,WARCAP UNCONSTRAINED EQUITY ETF,,Spinnaker ETF Trust,WARCAP
WCPB US,WEITZ CORE PLUS BOND ETF,,Northern Lights Fund Trust II/,WEITZ
WDE US,PRINCIPAL SECURITIZED DEBT ETF,,Principal Exchange-Traded Fund,PRINCIPAL
WLTG US,WEALTHTRUST DBS LONG TERM GROWTH ETF,,ETF Opportunities Trust/Wealth,WEALTHTRUST
WMSB US,WEITZ MULTISECTOR BOND ETF,,Northern Lights Fund Trust II/,WEITZ
WSDB US,WEITZ SHORT DURATION BOND ETF,,Northern Lights Fund Trust II/,WEITZ
WSGE US,WARREN STREET GLOBAL EQUITY ETF,,EA Series Trust,WARREN
WZRD US,OPPORTUNISTIC TRADER ETF,,ETF Opportunities Trust/Tuttle,OPPORTUNISTIC
XCOR US,FUNDX ETF,,FundX Investment Trust,FUNDX
XFLX US,FUNDX FLEXIBLE ETF,,FundX Investment Trust,FUNDX
XNAV US,FUNDX AGGRESSIVE ETF,,FundX Investment Trust,FUNDX
XRLX US,FUNDX CONSERVATIVE ETF,,FundX Investment Trust,FUNDX
YALL US,TRUTH SOCIAL GOD BLESS AMERICA ETF,,Yorkville America Investment T,TRUTH
YFFI US,INDEXPERTS YIELD FOCUSED FIXED INCOME ETF,,Spinnaker ETF Trust,INDEXPERTS
YFYA US,YIELDS FOR YOU INCOME STRATEGY A ETF,,Listed Funds Trust/Teucrium In,YIELDS
YLD US,PRINCIPAL ACTIVE HIGH YIELD ETF,,Principal Exchange-Traded Fund,PRINCIPAL
YLDA US,QUANTIFY ABSOLUTE INCOME ETF,Defined,Tidal Trust II,QUANTIFY
YOKE US,YOKE CORE ETF,,EA Series Trust,YOKE
YSAG US,Y ALL STREET PHYSICAL SILVER ETF,,Texas Precious Metals Trust,ALL
YSAU US,Y ALL STREET PHYSICAL GOLD ETF,,Texas Precious Metals Trust,ALL
ZECP US,ZACKS EARNINGS CONSISTENT PORTFOLIO ETF,,Zacks Trust,ZACKS
ZHDG US,ZEGA BUY AND HEDGE ETF,,Tidal Trust I,ZEGA
ZIG US,THE ACQUIRERS FUND ETF,,ETF Series Solutions,ACQUIRERS
ZINC US,ZACKS INCOME ETF,,Zacks Trust,ZACKS
ZTAX US,X-SQUARE MUNICIPAL INCOME ETF,,X-Square Series Trust,X-SQUARE
