ticker,etp_category,is_primary,source
TSLW US,CC,1,manual
TSLY US,CC,1,manual
TSMY US,CC,1,manual
TSPY US,CC,1,manual
TSYW US,CC,1,manual
TSYY US,CC,1,manual
TYA US,CC,1,manual
TYLG US,CC,1,manual
UBEW US,CC,1,manual
ULTI US,CC,1,manual
ULTY US,CC,1,manual
UNHW US,CC,1,manual
USG US,CC,1,manual
USOI US,CC,1,manual
USOY US,CC,1,manual
VEGA US,CC,1,manual
WDTE US,CC,1,manual
WEEL US,CC,1,manual
WMTI US,CC,1,manual
WNTR US,CC,1,manual
WPAY US,CC,1,manual
WTPI US,CC,1,manual
XBTY US,CC,1,manual
XCLR US,CC,1,manual
XDTE US,CC,1,manual
XLBI US,CC,1,manual
XLCI US,CC,1,manual
XLEI US,CC,1,manual
XLFI US,CC,1,manual
XLII US,CC,1,manual
XLKI US,CC,1,manual
XLRI US,CC,1,manual
XLSI US,CC,1,manual
XLUI US,CC,1,manual
XLVI US,CC,1,manual
XLYI US,CC,1,manual
XOMO US,CC,1,manual
XRPM US,CC,1,manual
XYLD US,CC,1,manual
XYLG US,CC,1,manual
XYZY US,CC,1,manual
YBIT US,CC,1,manual
YBMN US,CC,1,manual
YBST US,CC,1,manual
YBTC US,CC,1,manual
YBTY US,CC,1,manual
YETH US,CC,1,manual
YGLD US,CC,1,manual
YMAG US,CC,1,manual
YMAX US,CC,1,manual
YQQQ US,CC,1,manual
YSPY US,CC,1,manual
ACEI US,CC,1,manual
ACII US,CC,1,manual
CAIE US,CC,1,manual
CAIQ US,CC,1,manual
PAYH US,CC,1,manual
PAYM US,CC,1,manual
HAKY US,CC,1,manual
NDIV US,CC,1,manual
AETH US,Crypto,1,manual
ARKB US,Crypto,1,manual
BBB US,Crypto,1,manual
BCHG US,Crypto,1,manual
BETE US,Crypto,1,manual
BETH US,Crypto,1,manual
BITB US,Crypto,1,manual
BITC US,Crypto,1,manual
BITO US,Crypto,1,manual
BITQ US,Crypto,1,manual
BITS US,Crypto,1,manual
