ticker,map_li_category,map_li_subcategory,map_li_direction,map_li_leverage_amount,map_li_underlier
TSMX US,Equity,Single Stock,Long,2.0,TSM US
TSMZ US,Equity,Single Stock,Short,1.0,TSM US
TSXD US,Equity,Index/Basket/ETF Based,Short,2.0,
TSXU US,Equity,Index/Basket/ETF Based,Long,2.0,
TTDU US,Equity,Single Stock,Long,2.0,TTD US
TTT US,Fixed Income,Index/Basket/ETF Based,Short,3.0,
TTXD US,Equity,Index/Basket/ETF Based,Short,2.0,
TTXU US,Equity,Index/Basket/ETF Based,Long,2.0,
TWM US,Equity,Index/Basket/ETF Based,Short,2.0,
TXXD US,Crypto,Single Stock,Long,2.0,XDGUSD Curncy
TXXS US,Crypto,Single Stock,Long,2.0,
TYD US,Fixed Income,Index/Basket/ETF Based,Long,3.0,
TYO US,Fixed Income,Index/Basket/ETF Based,Short,3.0,
TZA US,Equity,Index/Basket/ETF Based,Short,3.0,
UBOT US,Equity,Index/Basket/ETF Based,Long,2.0,
UBR US,Equity,Index/Basket/ETF Based,Long,2.0,
UBRL US,Equity,Single Stock,Long,2.0,UBER US
UBT US,Fixed Income,Index/Basket/ETF Based,Long,2.0,
UCC US,Equity,Index/Basket/ETF Based,Long,2.0,
UCO US,Commodity,Index/Basket/ETF Based,Long,2.0,CLA Comdty
UCYB US,Equity,Index/Basket/ETF Based,Long,2.0,
UDN US,Currency,Index/Basket/ETF Based,Short,1.0,
UDOW US,Equity,Index/Basket/ETF Based,Long,3.0,
UGE US,Equity,Index/Basket/ETF Based,Long,2.0,
UGL US,Commodity,Index/Basket/ETF Based,Long,2.0,XAU Curncy
UJB US,Fixed Income,Index/Basket/ETF Based,Long,2.0,
ULE US,Currency,Index/Basket/ETF Based,Long,2.0,EURUSD Curncy
UMDD US,Equity,Index/Basket/ETF Based,Long,3.0,
UNHG US,Equity,Single Stock,Long,2.0,UNH US
UNX US,Equity,Single Stock,Long,2.0,U US
UPRO US,Equity,Index/Basket/ETF Based,Long,3.0,
UPSG US,Equity,Single Stock,Long,2.0,UPS US
UPSX US,Equity,Single Stock,Long,2.0,UPST US
UPV US,Equity,Index/Basket/ETF Based,Long,2.0,
UPW US,Equity,Index/Basket/ETF Based,Long,2.0,
URAA US,Equity,Index/Basket/ETF Based,Long,2.0,UXAA Comdty
URE US,Equity,Index/Basket/ETF Based,Long,2.0,
URSP US,Equity,Index/Basket/ETF Based,Long,2.0,
URTY US,Equity,Index/Basket/ETF Based,Long,3.0,
USAX US,Equity,Single Stock,Long,2.0,USAR US
USD US,Equity,Index/Basket/ETF Based,Long,2.0,
USGG US,Equity,Single Stock,Long,2.0,USAR US
UST US,Fixed Income,Index/Basket/ETF Based,Long,2.0,
UTSL US,Equity,Index/Basket/ETF Based,Long,3.0,
UUUG US,Equity,Single Stock,Long,2.0,UUUU US
UVIX US,Volatility,Index/Basket/ETF Based,Long,2.0,
UVXY US,Volatility,Index/Basket/ETF Based,Long,1.5,
UWM US,Equity,Index/Basket/ETF Based,Long,2.0,
UXI US,Equity,Index/Basket/ETF Based,Long,2.0,
UXRP US,Crypto,Single Stock,Long,2.0,XRPUSD Curncy
UYG US,Equity,Index/Basket/ETF Based,Long,2.0,
UYM US,Equity,Index/Basket/ETF Based,Long,2.0,
VALG US,Equity,Single Stock,Long,2.0,VALE US
VIXI US,Volatility,Index/Basket/ETF Based,Tactical,,
VOYX US,Equity,Single Stock,Long,2.0,VOYG US
VRTL US,Equity,Single Stock,Long,2.0,VRT US
VSTL US,Equity,Single Stock,Long,2.0,VST US
WANT US,Equity,Index/Basket/ETF Based,Long,3.0,
WEBL US,Equity,Index/Basket/ETF Based,Long,3.0,
WEBS US,Equity,Index/Basket/ETF Based,Short,3.0,
WHTX US,Commodity,Index/Basket/ETF Based,Long,2.0,
WILD US,Equity,Index/Basket/ETF Based,Long,2.0,
WTIB US,Equity,Index/Basket/ETF Based,Tactical,,
WULX US,Equity,Single Stock,Long,2.0,WULF US
WXET US,Commodity,Index/Basket/ETF Based,Long,2.0,
XOMX US,Equity,Single Stock,Long,2.0,XOM US
XOMZ US,Equity,Single Stock,Short,1.0,XOM US
XPEG US,Equity,Single Stock,Long,2.0,XPEV
XPM US,Equity,Single Stock,Long,2.0,PM US
XPP US,Equity,Index/Basket/ETF Based,Long,2.0,
XRPK US,Crypto,Single Stock,Long,2.0,XRPUSD Curncy
XRPT US,Crypto,Single Stock,Long,2.0,XRPUSD Curncy
XVOL US,Equity,Index/Basket/ETF Based,Tactical,,
XXRP US,Crypto,Single Stock,Long,2.0,XRPUSD Curncy
XYZG US,Equity,Single Stock,Long,2.0,XYZ US
YANG US,Equity,Index/Basket/ETF Based,Short,3.0,
YCL US,Currency,Index/Basket/ETF Based,Long,2.0,JPYUSD Curncy
YCS US,Currency,Single Stock,Short,2.0,USDJPY Curncy
YINN US,Equity,Index/Basket/ETF Based,Long,3.0,
YXI US,Equity,Index/Basket/ETF Based,Short,1.0,
ZIPP US,Stacked Returns,Miscellaneous,Long,,Basket
ZSL US,Commodity,Index/Basket/ETF Based,Short,2.0,SIA Comdty
ZVOL US,Volatility,Index/Basket/ETF Based,Short,1.0,
APLZ US,Equity,Single Stock,Short,2.0,APLD
IREZ US,Equity,Single Stock,Short,2.0,IREN
LCIZ US,Equity,Single Stock,Short,2.0,LCID
LNOK US,Equity,Single Stock,Long,2.0,NOK
NBIZ US,Equity,Single Stock,Short,2.0,NBIS
QXAS US,Equity,Index/Basket/ETF Based,Long,2.0,
TDAX US,Equity,Index/Basket/ETF Based,Long,,TDAQ
TSYX US,Equity,Index/Basket/ETF Based,Long,,TSPY
LITX US,Equity,Single Stock,Long,2.0,LITE
RDWU US,Equity,Single Stock,Long,2.0,RDW
SNXX US,Equity,Single Stock,Long,2.0,SNDK
WDCX US,Equity,Single Stock,Long,2.0,WDC
MRNX US,Equity,Single Stock,Long,2.0,MRNA
RCAX US,Equity,Single Stock,Long,2.0,RCAT
ZETX US,Equity,Single Stock,Long,2.0,ZETA
ASTN US,Equity,Single Stock,Short,2.0,ASTS
CRMU US,Equity,Single Stock,Long,2.0,CRML
DNNG US,Equity,Single Stock,Long,2.0,DNN
UECG US,Equity,Single Stock,Long,2.0,UEC
BEZ US,Equity,Single Stock,Short,2.0,BE
SMZ US,Equity,Single Stock,Short,2.0,SMR
APHU US,Equity,Single Stock,Long,2.0,APH
ASMU US,Equity,Single Stock,Long,2.0,ASML
AXPG US,Equity,Single Stock,Long,2.0,AXP
BABU US,Equity,Single Stock,Long,2.0,BABA
CLSZ US,Equity,Single Stock,Short,2.0,CLSK
COHX US,Equity,Single Stock,Long,2.0,COHR
COPZ US,Commodity,Index/Basket/ETF Based,Long,2.0,COPX
FCXG US,Equity,Single Stock,Long,2.0,FCX
FGRU US,Equity,Single Stock,Long,2.0,FIGR
LEUX US,Equity,Single Stock,Long,2.0,KEY
MRVU US,Equity,Single Stock,Long,2.0,MRVL
SOFA US,Equity,Single Stock,Long,2.0,SOFI
OILU US,Commodity,Energy,Long,3.0,SOLOILT
NRGU US,Commodity,Energy,Long,3.0,SOLUSBOT
WTIU US,Commodity,Energy,Long,3.0,BIGOIL
GDXU US,Commodity,Gold,Long,3.0,MINERS
SHNY US,Commodity,Gold,Long,3.0,
FNGD US,Equity,Tech,Short,3.0,NYFANGT
SCDL US,Equity,Dividend,Long,2.0,DJUSDIVT
JETU US,Equity,Airlines,Long,3.0,PJETSNTR
HDLB US,Equity,Dividend,Long,2.0,SOLHDLV
MLPR US,Equity,MLP,Long,1.5,AMZ
BERZ US,Equity,Tech,Short,3.0,SOLFANGT
FLYD US,Equity,Travel,Short,3.0,MQUSTRAV
IWML US,Equity,Factor,Long,2.0,RU20INTR
IWDL US,Equity,Factor,Long,2.0,RU10VATR
SMHB US,Equity,Dividend,Long,2.0,SOLSMHD
PFFL US,Fixed Income,Preferred,Long,2.0,SOLPRF
CARD US,Equity,Auto,Short,3.0,PCARSNTR
QULL US,Equity,Factor,Long,2.0,M2USSNQ
CEFD US,Equity,Closed-End,Long,1.5,CEFX
USML US,Equity,Factor,Long,2.0,M00IMV$T
MVRL US,Equity,Real Estate,Long,1.5,MVMORT
MTUL US,Equity,Factor,Long,2.0,M2US000$
VYLD US,Volatility,VIX,Long,1.0,SPVXSTIT
BNKU US,Equity,Financials,Long,3.0,SOLUSBBT
SPYU US,Equity,Broad Market,Long,4.0,SPXT
BNKD US,Equity,Financials,Short,3.0,SOLUSBBT
BDCX US,Equity,Closed-End,Long,1.5,MVBIZD
IWFL US,Equity,Factor,Long,2.0,RU10GRTR
CARU US,Equity,Auto,Long,3.0,PCARSNTR
FNGO US,Equity,Tech,Long,2.0,NYFANGT
FLYU US,Equity,Travel,Long,3.0,MQUSTRAV
BULZ US,Equity,Tech,Long,3.0,SOLFANGT
SZOXF US,Commodity,Energy,Long,1.0,DBODIXX
JETD US,Equity,Airlines,Short,3.0,PJETSNTR
FNGU US,Equity,Tech,Long,3.0,NYFANGT
WTID US,Commodity,Energy,Short,3.0,BIGOIL
DULL US,Commodity,Gold,Short,3.0,
OILD US,Commodity,Energy,Short,3.0,SOLOILT
NRGD US,Commodity,Energy,Short,3.0,SOLUSBOT
GDXD US,Commodity,Gold,Short,3.0,MINERS
DRNL US,Equity,Index/Basket/ETF Based,Long,2.0,
FNGS US,Equity,Index/Basket/ETF Based,Long,1.0,
UPSD US,Equity,Index/Basket/ETF Based,Tactical,,
