ticker,map_crypto_is_spot,map_crypto_underlier
GBTC US,Spot Single Asset,BTC only
ARKB US,Spot Single Asset,BTC only
ETHE US,Spot Single Asset,alt-coin only (ETH)
BITB US,Spot Single Asset,BTC only
FETH US,Spot Single Asset,alt-coin only (ETH)
BITO US,Derivatives-based; futures-based,BTC only
HODL US,Spot Single Asset,BTC only
BRRR US,Spot Single Asset,BTC only
BTCO US,Spot Single Asset,BTC only
EZBC US,Spot Single Asset,BTC only
QETH US,Spot Single Asset,alt-coin only (ETH)
DEFI US,Spot Single Asset,BTC only
EZPZ US,Spot Multi-asset; passive,multi-token crypto
SSK US,Spot Single Asset,alt-coin only (SOL)
XRPR US,Spot Single Asset,alt-coin only (XRP)
GDLC US,Spot Multi-asset; passive,multi-token crypto
ETCG US,Spot Single Asset,alt-coin only (ETC)
OBTC US,Spot Single Asset,BTC only
ESK US,Spot Single Asset,alt-coin only (ETH)
FILG US,Spot Single Asset,alt-coin only (FIL)
GBAT US,Spot Single Asset,alt-coin only (BAT)
GLIV US,Spot Single Asset,alt-coin only (LPT)
GLNK US,Spot Single Asset,alt-coin only (LINK)
GSNR US,Spot Single Asset,alt-coin only (NEAR)
GSOL US,Spot Single Asset,alt-coin only (SOL)
OBNB US,Spot Single Asset,alt-coin only (BNB)
ODOT US,Spot Single Asset,alt-coin only (DOT)
OBNK US,Spot Single Asset,alt-coin only (BONK)
BSOL US,Spot Single Asset,alt-coin only (SOL)
HBR US,Spot Single Asset,alt-coin only (HBAR)
LTCC US,Spot Single Asset,alt-coin only (LTC)
ORO US,Spot Multi-asset; active,crypto + traditional asset
XRPC US,Spot Single Asset,alt-coin only (XRP)
XRP US,Spot Single Asset,alt-coin only (XRP)
TSOL US,Spot Single Asset,alt-coin only (SOL)
GXRP US,Spot Single Asset,alt-coin only (XRP)
XRPZ US,Spot Single Asset,alt-coin only (XRP)
FSOL US,Spot Single Asset,alt-coin only (SOL)
VSOL US,Spot Single Asset,alt-coin only (SOL)
GDOG US,Spot Single Asset,alt-coin only (DOGE)
SOLC US,Spot Single Asset,alt-coin only (SOL)
SOEZ US,Spot Single Asset,alt-coin only (SOL)
BWOW US,Spot Single Asset,alt-coin only (DOGE)
QSOL US,Spot Single Asset,alt-coin only (SOL)
TOXR US,Spot Single Asset,alt-coin only (XRP)
CLNK US,Spot Single Asset,alt-coin only (LINK)
VAVX US,Spot Single Asset,alt-coin only (AVAX)
BPRO US,Hybrid (spot/multi + derivatives),crypto + traditional asset
ISBG US,Derivatives-based; income,crypto + traditional asset
ISSB US,Derivatives-based; income,crypto + traditional asset
KRYP US,Spot Multi-asset; passive,multi-token crypto
QXAS US,Derivatives-based; leveraged,multi-token crypto
TDOG US,Spot Single Asset,alt-coin only (DOGE)
XBCI US,Derivatives-based; income,BTC only
GSUI US,Spot Single Asset,alt-coin only (SUI)
SUIS US,Spot Single Asset,alt-coin only (SUI)
BCOR US,Equity,BTC only
EEE US,Derivatives-based; futures-based,crypto + traditional asset
GLDB US,Derivatives-based; futures-based,crypto + traditional asset
SSS US,Derivatives-based; futures-based,crypto + traditional asset
TDOT US,Spot Single Asset,alt-coin only (DOT)
TSUI US,Spot Single Asset,alt-coin only (SUI)
XXX US,Derivatives-based; futures-based,crypto + traditional asset
